Data Log

TimeStamp,Temperature,Voltage,Current,Relative State of Charge
2025-09-25 09:44:39.569,28.2,11896,0,1
2025-09-25 09:44:44.674,28.2,11988,5031,
2025-09-25 09:44:49.591,28.2,,5026,1
2025-09-25 09:44:54.599,,12018,5023,1
2025-09-25 09:44:59.602,28.1,12032,5021,1
2025-09-25 09:45:04.933,28.2,12046,5021,1
2025-09-25 09:45:09.612,28.1,12057,5016,1
2025-09-25 09:45:14.626,28.1,12070,5015,2
2025-09-25 09:45:19.641,28.1,12082,5014,2
2025-09-25 09:45:25.001,28.1,12095,5013,2
2025-09-25 09:45:29.663,28.1,12105,5012,2
2025-09-25 09:45:34.664,28.1,12116,5011,2
2025-09-25 09:45:39.676,28.1,,5010,2
2025-09-25 09:45:45.047,28.1,12139,5009,3
2025-09-25 09:45:49.692,28.1,12148,5008,3
2025-09-25 09:45:54.693,28.0,12159,5007,3
2025-09-25 09:45:59.708,28.0,12169,5006,3
2025-09-25 09:46:05.053,28.0,12179,5007,3
2025-09-25 09:46:09.725,28.0,12189,5006,3
2025-09-25 09:46:14.729,28.0,12199,5006,4
2025-09-25 09:46:19.741,28.0,12208,5007,4
2025-09-25 09:46:25.141,28.0,12219,5006,4
2025-09-25 09:46:31.041,28.0,12230,5004,
2025-09-25 09:46:34.769,28.0,12236,5004,4
2025-09-25 09:46:39.781,28.0,12245,5004,4
2025-09-25 09:46:45.124,28.0,12256,5004,5
2025-09-25 09:46:49.802,28.0,12263,5004,5
2025-09-25 09:46:54.810,28.0,12273,5003,5
2025-09-25 09:46:59.811,28.0,12282,5001,5
2025-09-25 09:47:05.192,28.0,12291,5003,5
2025-09-25 09:47:09.828,27.9,,5000,6
2025-09-25 09:47:14.836,27.9,12308,5001,6
2025-09-25 09:47:19.844,27.9,12316,5000,6
2025-09-25 09:47:25.253,27.9,12325,5002,6
2025-09-25 09:47:29.871,27.9,12334,5001,6
2025-09-25 09:47:34.886,27.9,12342,5001,6
2025-09-25 09:47:39.892,27.9,12350,5000,7
2025-09-25 09:47:45.237,27.9,12358,5000,7
2025-09-25 09:47:49.900,27.9,12366,4999,7
2025-09-25 09:47:54.913,27.9,12374,4999,7
2025-09-25 09:47:59.917,27.9,12382,4999,7
2025-09-25 09:48:05.292,27.9,12390,4999,7
2025-09-25 09:48:09.945,27.9,12397,4997,8
2025-09-25 09:48:14.951,27.8,12405,4996,8
2025-09-25 09:48:21.201,27.9,12415,4998,8
2025-09-25 09:48:25.338,27.8,12421,4997,8
2025-09-25 09:48:29.980,27.8,12427,4997,8
2025-09-25 09:48:34.992,27.9,12435,4997,8
2025-09-25 09:48:40.001,27.8,12442,4997,9
2025-09-25 09:48:45.364,27.8,12451,4997,9
2025-09-25 09:48:50.012,27.8,12457,4994,9
2025-09-25 09:48:55.023,27.8,12464,4994,9
2025-09-25 09:49:00.036,27.8,12471,4995,9
2025-09-25 09:49:05.372,27.8,12480,4994,9
2025-09-25 09:49:10.052,27.8,12485,4992,10
2025-09-25 09:49:15.055,27.8,12492,4992,10
2025-09-25 09:49:20.062,27.7,12499,4991,10
2025-09-25 09:49:25.421,27.7,12507,4991,10
2025-09-25 09:49:30.087,27.7,12513,4991,10
2025-09-25 09:49:35.092,,12520,4991,10
2025-09-25 09:49:40.096,27.6,12527,4992,11
2025-09-25 09:49:45.468,27.7,12534,4990,11
2025-09-25 09:49:50.112,27.7,12540,4989,11
2025-09-25 09:49:55.113,27.7,12547,4989,11
2025-09-25 09:50:00.126,27.6,,4989,11
2025-09-25 09:50:05.485,27.6,12560,4989,11
